ques_neg,sparql_neg,type
What is Newton s law of cooling named after That wasn't born in Parnu,SELECT ?answer WHERE { wd:Q2902868 wdt:P138 ?answer . MINUS { ?answer wdt:P19 wd:Q23890603 }},loc
What is Newton s law of cooling named after That wasn't born in Parnu,SELECT ?answer WHERE { wd:Q2902868 wdt:P138 ?answer . MINUS { ?answer wdt:P19 wd:Q185036 }},loc
What is Newton s law of cooling named after That wasn't born in Parnu,SELECT ?answer WHERE { wd:Q2902868 wdt:P138 ?answer . MINUS { ?answer wdt:P19 wd:Q191 }},loc
Who is the life stance of Zhuang people Who hasn't formed in Gaya district,SELECT ?answer WHERE { wd:Q36692 wdt:P140 ?answer . MINUS { ?answer wdt:P740 wd:Q49173 }},loc
Who is the life stance of Zhuang people Who hasn't formed in Magadh division,SELECT ?answer WHERE { wd:Q36692 wdt:P140 ?answer . MINUS { ?answer wdt:P740 wd:Q239147 }},loc
Who is the life stance of Zhuang people Who hasn't formed in Bihar,SELECT ?answer WHERE { wd:Q36692 wdt:P140 ?answer . MINUS { ?answer wdt:P740 wd:Q1165 }},loc
Who is the life stance of Zhuang people Who hasn't formed in India,SELECT ?answer WHERE { wd:Q36692 wdt:P140 ?answer . MINUS { ?answer wdt:P740 wd:Q668 }},loc
What is the twin town of Chiba That doesn't have shires in Wujiang District,SELECT ?answer WHERE { wd:Q170616 wdt:P190 ?answer . MINUS { ?answer wdt:P150 wd:Q1371372 }},loc
What is the twin town of Chiba That doesn't have shires in Suzhou,SELECT ?answer WHERE { wd:Q170616 wdt:P190 ?answer . MINUS { ?answer wdt:P150 wd:Q42622 }},loc
What is the twin town of Chiba That doesn't have shires in Jiangsu,SELECT ?answer WHERE { wd:Q170616 wdt:P190 ?answer . MINUS { ?answer wdt:P150 wd:Q16963 }},loc
What is the twin town of Chiba That doesn't have shires in People's Republic of China,SELECT ?answer WHERE { wd:Q170616 wdt:P190 ?answer . MINUS { ?answer wdt:P150 wd:Q148 }},loc
For Russia what is the aspect of Russian literature That doesn't have cities,SELECT ?answer WHERE { wd:Q179161 wdt:P1269 ?answer . MINUS { ?answer wdt:P150 wd:Q159 }},loc
What City of Magellan and the Chilean Antarctic Region doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q2189 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Cabo de Hornos doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q3673 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
"What City of Tierra del Fuego, Antarctica and South Atlantic Islands Province doesn't have 6801 inhabitants","SELECT ?answer WHERE { wd:Q44832 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Porvenir doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q51120 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Primavera doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q51586 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Timaukel doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q188177 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Antártica Chilena Province doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q201086 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Tierra del Fuego Province doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q721689 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Río Grande Department doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q1913183 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Ushuaia Department doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q2342358 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Chile doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q298 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What City of Argentina doesn't have 6801 inhabitants,"SELECT ?answer WHERE { wd:Q414 wdt:P131 ?answer . MINUS { ?answer wdt:P1082 ?x FILTER(contains(?x,'6801')) }}",loc
What is being claimed by Alexandre Island That doesn't have a total fertility rate of 2 322,"SELECT ?answer WHERE { wd:Q21590062 wdt:P1336 ?answer . MINUS { ?answer wdt:P4841 ?x FILTER(contains(?x,'2.322')) }}",loc
Where is administrative centre of Holy Roman Empire Which hasn't populated places within is Lipence,SELECT ?answer WHERE { wd:Q12548 wdt:P36 ?answer . MINUS { ?answer wdt:P1383 wd:Q3490395 }},loc
Where is administrative centre of Holy Roman Empire Which hasn't populated places within is Prague 16,SELECT ?answer WHERE { wd:Q12548 wdt:P36 ?answer . MINUS { ?answer wdt:P1383 wd:Q84572284 }},loc
Where is administrative centre of Holy Roman Empire Which hasn't populated places within is Prague 5,SELECT ?answer WHERE { wd:Q12548 wdt:P36 ?answer . MINUS { ?answer wdt:P1383 wd:Q84492219 }},loc
Where is administrative centre of Holy Roman Empire Which hasn't populated places within is Prague,SELECT ?answer WHERE { wd:Q12548 wdt:P36 ?answer . MINUS { ?answer wdt:P1383 wd:Q1085 }},loc
Where is administrative centre of Holy Roman Empire Which hasn't populated places within is Czech Republic,SELECT ?answer WHERE { wd:Q12548 wdt:P36 ?answer . MINUS { ?answer wdt:P1383 wd:Q213 }},loc
Who is the subsidiary entity of the University of British Columbia That doesn't have superior formation over the Saanich,SELECT ?answer WHERE { wd:Q391028 wdt:P355 ?answer . MINUS { ?answer wdt:P749 wd:Q179553 }},loc
Who is the subsidiary entity of the University of British Columbia That doesn't have superior formation over the Oak Bay,SELECT ?answer WHERE { wd:Q391028 wdt:P355 ?answer . MINUS { ?answer wdt:P749 wd:Q7073424 }},loc
Who is the subsidiary entity of the University of British Columbia That doesn't have superior formation over the Capital Regional District,SELECT ?answer WHERE { wd:Q391028 wdt:P355 ?answer . MINUS { ?answer wdt:P749 wd:Q550219 }},loc
Who is the subsidiary entity of the University of British Columbia That doesn't have superior formation over the British Columbia,SELECT ?answer WHERE { wd:Q391028 wdt:P355 ?answer . MINUS { ?answer wdt:P749 wd:Q1973 }},loc
Who is the subsidiary entity of the University of British Columbia That doesn't have superior formation over the Canada,SELECT ?answer WHERE { wd:Q391028 wdt:P355 ?answer . MINUS { ?answer wdt:P749 wd:Q16 }},loc
Who are the daughters of Peter Gabriel That weren't born in Bath and North East Somerset,SELECT ?answer WHERE { wd:Q175195 wdt:P40 ?answer . MINUS { ?answer wdt:P19 wd:Q810793 }},loc
Who are the daughters of Peter Gabriel That weren't born in Somerset,SELECT ?answer WHERE { wd:Q175195 wdt:P40 ?answer . MINUS { ?answer wdt:P19 wd:Q23157 }},loc
Who are the daughters of Peter Gabriel That weren't born in South West England,SELECT ?answer WHERE { wd:Q175195 wdt:P40 ?answer . MINUS { ?answer wdt:P19 wd:Q48026 }},loc
Who are the daughters of Peter Gabriel That weren't born in England,SELECT ?answer WHERE { wd:Q175195 wdt:P40 ?answer . MINUS { ?answer wdt:P19 wd:Q21 }},loc
Who are the daughters of Peter Gabriel That weren't born in United Kingdom,SELECT ?answer WHERE { wd:Q175195 wdt:P40 ?answer . MINUS { ?answer wdt:P19 wd:Q145 }},loc
What influenced Georges Bataille That didn't study at Eberhard Ludwigs Gymnasium,SELECT ?answer WHERE { wd:Q207359 wdt:P737 ?answer . MINUS { ?answer wdt:P69 wd:Q1022 }},loc
What influenced Georges Bataille That didn't study at Eberhard Ludwigs Gymnasium,SELECT ?answer WHERE { wd:Q207359 wdt:P737 ?answer . MINUS { ?answer wdt:P69 wd:Q8172 }},loc
What influenced Georges Bataille That didn't study at Eberhard Ludwigs Gymnasium,SELECT ?answer WHERE { wd:Q207359 wdt:P737 ?answer . MINUS { ?answer wdt:P69 wd:Q985 }},loc
What influenced Georges Bataille That didn't study at Eberhard Ludwigs Gymnasium,SELECT ?answer WHERE { wd:Q207359 wdt:P737 ?answer . MINUS { ?answer wdt:P69 wd:Q183 }},loc
Where is the location of work by Yayoi Kusama That also doesn't have counties in Tokyo ku,SELECT ?answer WHERE { wd:Q231121 wdt:P937 ?answer . MINUS { ?answer wdt:P150 wd:Q1490 }},loc
Where is the location of work by Yayoi Kusama That also doesn't have counties in Japan ku,SELECT ?answer WHERE { wd:Q231121 wdt:P937 ?answer . MINUS { ?answer wdt:P150 wd:Q17 }},loc
What are the borders of Kaifeng That don't contain the rural city of Fendquan District,SELECT ?answer WHERE { wd:Q208471 wdt:P47 ?answer . MINUS { ?answer wdt:P150 wd:Q404362 }},loc
What are the borders of Kaifeng That don't contain the rural city of Fendquan District,SELECT ?answer WHERE { wd:Q208471 wdt:P47 ?answer . MINUS { ?answer wdt:P150 wd:Q43684 }},loc
What are the borders of Kaifeng That don't contain the rural city of Fendquan District,SELECT ?answer WHERE { wd:Q208471 wdt:P47 ?answer . MINUS { ?answer wdt:P150 wd:Q148 }},loc
Which adjacent to Ukraine wasn't initiated on February 2 1932,"SELECT ?answer WHERE { wd:Q212 wdt:P47 ?answer . MINUS { ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1932')) }}",loc
